sessionSource,sessionMedium,AI_Engagement_Score,sessions,activeUsers,engagedSessions,engagementRate,averageSessionDuration
vercel.com,referral,1.15,22,6,13,0.5909090909090909,470.0102750454545
startpage.com,referral,1.14,1,1,1,1.0,44.496632
search.google.com,referral,1.13,16,5,11,0.6875,388.1237911875
ca.search.yahoo.com,referral,1.13,1,1,1,1.0,49.788806
258.com,referral,1.12,1,1,1,1.0,58.825854
qwant.com,organic,1.11,23,3,14,0.608695652173913,486.6596286086957
fofa.info,referral,1.1,1,1,1,1.0,77.583588
world.a1.net,referral,1.06,1,1,1,1.0,103.991568
aol,organic,1.03,1,1,1,1.0,129.23494
cn.bing.com,referral,1.03,1,1,1,1.0,123.501083
venice.ai,referral,1.01,1,1,1,1.0,141.070124
127.0.0.1:8021,referral,1.0,4,1,4,1.0,166.2194595
chatgpt.com,(none),0.98,1,1,1,1.0,161.338056
copilot.cloud.microsoft,referral,0.98,1,1,1,1.0,163.056635
chatgpt.com,organic,0.96,4,4,4,1.0,195.17396475
chat.deepseek.com,referral,0.92,2,1,2,1.0,216.0122265
euc-word-edit.officeapps.live.com,referral,0.88,1,1,1,1.0,239.808466
chat.qwen.ai,referral,0.88,2,2,2,1.0,242.041011
statics.teams.cdn.office.net,referral,0.78,3,3,3,1.0,321.9654136666667
admin.goabroad.com,referral,0.77,1,1,1,1.0,323.07101
fr.search.yahoo.com,referral,0.7,8,8,8,1.0,412.859883625
sg.search.yahoo.com,referral,0.69,1,1,1,1.0,378.257844
docs.google.com,referral,0.67,2,2,2,1.0,402.7980605
searchgby.com,referral,0.62,1,1,1,1.0,435.507586
app.neilpatel.com,referral,0.37,6,2,6,1.0,648.0723998333334
poe.com,referral,0.31,1,1,1,1.0,663.75333
uk.search.yahoo.com,referral,0.0,2,2,2,1.0,903.916308
