sessionSource,sessionMedium,sessions,activeUsers,engagedSessions,engagementRate,averageSessionDuration
sg.search.yahoo.com,referral,1,1,1,1.0,378.257844
sgdp.ratraiser.online,referral,1,1,0,0.0,0.0
shsupplychain.com,referral,1,1,0,0.0,0.0
sider.ai,referral,1,1,0,0.0,0.0
startpage.com,referral,1,1,1,1.0,44.496632
startsiden.abcnyheter.no,referral,1,1,1,1.0,16.606426
targ8.com,referral,1,1,1,1.0,9.749772
terra.com,referral,1,1,0,0.0,8.104108
traderscity.com,referral,1,1,0,0.0,2.259489
twicsy.com,referral,1,1,1,1.0,10.599589
url.fortinet.net,referral,1,1,1,1.0,32.82568
venice.ai,referral,1,1,1,1.0,141.070124
world.a1.net,referral,1,1,1,1.0,103.991568
